,year,month,kw
3,2020,1,756531697
4,2020,2,740068227
5,2020,3,696886117
6,2020,4,660659042
7,2020,5,610865447
8,2020,6,685305904
9,2020,7,723737539
10,2020,8,785929551
11,2020,9,810365666
0,2020,10,644708555
1,2020,11,681435087
2,2020,12,734615424
15,2021,1,811864417
16,2021,2,767227407
17,2021,3,697760777
18,2021,4,696052225
19,2021,5,659750505
20,2021,6,713734602
21,2021,7,790945617
22,2021,8,876521082
23,2021,9,781758101
12,2021,10,705603738
13,2021,11,710813620
14,2021,12,761414432
27,2022,1,825882846
28,2022,2,788536591
29,2022,3,735401195
30,2022,4,712892007
31,2022,5,672419479
32,2022,6,717565017
33,2022,7,838798578
34,2022,8,892014835
35,2022,9,806887743
24,2022,10,691579483
25,2022,11,690524525
26,2022,12,744368423
